Name,Address,City,State,Zip Code,Beds,Baths,Monthly Rent,Available From,Open House
Novo Las Olas,220 SE 2nd St,Fort Lauderdale,FL,33301,1,1,$1,700+,Available Now,N/A
Harbour at New River,401 SW 1st Ave,Fort Lauderdale,FL,33301,Studio,1,$2,471+,Available Now,N/A
10X Las Olas Walk,106 S Federal Hwy,Fort Lauderdale,FL,33301,1,1,$3,099+,Available Now,N/A
Edge at Flagler Village,475 N Federal Hwy,Fort Lauderdale,FL,33301,1,1,$2,291+,Available Now,N/A
10X Riverwalk,4 W Las Olas Blvd,Fort Lauderdale,FL,33301,1,1,$2,608+,Available Now,N/A
The Oaks,4147 Stirling Rd,Fort Lauderdale,FL,33314,2,2,$2,200+,Available Now,N/A
Blu on Marina Boulevard,1401 Marina Mile Blvd,Fort Lauderdale,FL,33315,2,2,$2,585+,Available Now,N/A
Cortland Uptown Boca,20940 Uptown Ave,Boca Raton,FL,33428,1,1,Contact for Pricing,Available Now,N/A
Cortland Deerfield Station,1250 S Dixie Hwy,Deerfield Beach,FL,33441,1,1,Contact for Pricing,Available Now,N/A
The Grand,1717 N Bayshore Dr,Miami,FL,33132,1,1,$2,800+,Available Now,N/A
